,Nodes,Method,Time,Distance,OptimalityGap_WRTDp,OptimalityGap_WRTOr,lr,Episodes,Steps,AdaptationSteps,TasksPerEpisode,MinNodexUsedForTraining,MaxNodesUsedForTraining,OrToolsTimeLimit
0,10,Meta-RL,0.3192903995513916,391.2989202573802,55.371379633213415,55.37214702478603,0.0003,500,3,5,25,15,20,15
1,10,Meta-RL-2opt,0.31955742835998535,241.9408456436342,55.371379633213415,55.37214702478603,0.0003,500,3,5,25,15,20,15
2,10,Or-Tools,15.002536058425903,251.844,-0.0013858801109467927,,0.0003,500,3,5,25,15,20,15
3,10,Exact-DP,0.007059335708618164,251.84749030427804,,,0.0003,500,3,5,25,15,20,15
4,100,Meta-RL,0.8120265007019043,3829.93807909907,,,0.0003,500,3,5,25,15,20,15
5,100,Meta-RL-2opt,0.8239367008209229,2268.962720285296,,,0.0003,500,3,5,25,15,20,15
6,100,Or-Tools,15.001154661178589,756.933,,,0.0003,500,3,5,25,15,20,15
7,100,Exact-DP,,,,,0.0003,500,3,5,25,15,20,15
8,500,Meta-RL,4.899078845977783,6535.757361993333,,,0.0003,500,3,5,25,15,20,15
9,500,Meta-RL-2opt,5.000688076019287,5806.198422328231,,,0.0003,500,3,5,25,15,20,15
10,500,Or-Tools,15.001153945922852,1766.451,,,0.0003,500,3,5,25,15,20,15
11,500,Exact-DP,,,,,0.0003,500,3,5,25,15,20,15
